Waypoint,TreeID,X_coord,Y_coord,Date,D60 ,Point1,Point2,Point3,Point4,Point5,Aspect,Coppice,Pix.mm,Notes
KRQULA001,QULA001,-99.40227,30.0648,5/23/2026,25,13.78,10.65,9.57,14.22,14.63,,,11.811,
KRQULA002,QULA002,-99.40228,30.06473,5/23/2026,29,9.23,10.36,9.9,11.24,9.52,,,11.811,
KRQUFU001,QUFU001,-99.40887,30.06423,5/24/2026,24,6.97,16.26,15.67,18.43,13.01,,,11.811,
KRQUFU002,QUFU002,-99.40916,30.06416,5/24/2026,47,13.56,20.19,24.92,19.02,22.49,,,11.811,
KRQULA003,QULA003,-99.40855,30.06486,5/24/2026,30,14.68,14.77,11,18.63,18.44,,,11.811,
KRQULA007,QULA007,-99.40475,30.06257,6/10/2026,36.5,12.46,9.56,15.32,8.06,12.31,342N,,11.811,
KRQUBU2016,QUBU2016,-99.4053,30.06317,6/10/2026,44,9.7,11.76,6.62,10.35,10.22,17N,,11.811,
KRQUSIB001,QUSIB001,-99.40437,30.06251,6/10/2026,16.8,5.49,6.15,5.05,4.86,6.02,6N,,11.811,
KRQUFU013,QUFU013,-99.4023,30.0625,6/10/2026,36,9.65,12.14,17.23,18.27,13.88,22N,,11.811,
KRQUFU014,QUFU014,-99.4002,30.06481,6/10/2026,12.5,11.97,10.45,7.45,10.45,,7N,,11.811,only 4 drill points because size class was small
KRQULA008,QULA008,-99.39993,30.0652,6/10/2026,29.2,13.02,12.08,13.62,13.21,12.08,6N,,11.811,
KRQUSIB002,QUSIB002,-99.39969,30.0662,6/10/2026,13.6,9.12,7.26,4.91,4.17,,6N,,11.811,
KRQULA010,QULA010,-99.40326,30.06485,6/11/2026,19,14.44,10.84,12.11,13.38,15.81,16N,,11.811,
KRQULA011,QULA011,-99.40356,30.06503,6/11/2026,45,32.42,30.16,16.57,14.95,20.35,216SW,,11.811,
KRQUSIB003,QUSIB003,-99.40335,30.06598,6/11/2026,22,4.83,6.11,4.01,4.14,9.73,227SW,Yes,11.811,
KRQUSIB004,QUSIB004,-99.40343,30.06574,6/11/2026,22.5,7.96,4.76,8.6,7.61,6.78,300NW,,11.811,Slanted tree
KRQUBU2023,QUBU2023,-99.40364,30.06768,6/11/2026,33,9.22,7.04,9.53,8.29,8.89,334NW,Yes,11.811,
KRQUBU2024,QUBU2024,-99.40356,30.06758,6/11/2026,36,11.6,7.27,6.54,9.97,10.98,166S,Yes,11.811,Slanted tree
KRQUBU2025,QUBU2025,-99.40556,30.0711,6/11/2026,22,5.53,8.87,6.46,6.51,7.37,147SE,Yes,11.811,
KRQULA012,QULA012,-99.4056,30.07122,6/11/2026,41,15.99,22.11,18.11,17.02,14.24,233SW,,11.811,
KRQUBU2026,QUBU2026,-99.4075,30.07452,6/11/2026,15,5.6,5.84,4.92,6.52,,31NE,,11.811,
